search_place,area_average_price,area_average_last_week,area_average_last_month,area_average_6_months_ago,area_average_last_year,tank_average_cost,tank_average_last_week,tank_average_last_month,tank_average_6_months_ago,tank_average_last_year
Bensalem,$4.192,$4.013,$3.934,$2.814,$3.118,$62.88,$60.19,$59.01,$42.21,$46.77
Bristol,$4.152,$3.954,$3.797,$2.782,$3.081,$62.28,$59.32,$56.95,$41.73,$46.22
Chalfont,$4.215,$4.038,$3.912,$2.856,$3.074,$63.22,$60.57,$58.68,$42.84,$46.12
Churchville,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Croydon,$4.149,$3.973,$3.848,$2.788,$3.086,$62.23,$59.59,$57.72,$41.81,$46.30
Doylestown,$4.229,$4.062,$3.908,$2.854,$3.095,$63.44,$60.93,$58.62,$42.82,$46.43
Dublin,$4.255,$4.087,$3.922,$2.925,$3.075,$63.82,$61.30,$58.83,$43.88,$46.13
Fairless Hills,$4.224,$4.047,$3.827,$2.895,$3.196,$63.36,$60.70,$57.40,$43.43,$47.94
Ferndale,$4.086,$3.930,$3.942,$3.082,$3.092,$61.29,$58.95,$59.14,$46.24,$46.39
Hulmeville,$4.215,$4.035,$3.868,$2.846,$3.170,$63.22,$60.53,$58.02,$42.68,$47.55
Ivyland,$4.180,$3.993,$3.834,$2.772,$3.040,$62.70,$59.90,$57.50,$41.58,$45.60
Langhorne,$4.244,$4.074,$3.888,$2.858,$3.191,$63.66,$61.11,$58.32,$42.87,$47.86
Levittown,$4.220,$4.040,$3.826,$2.867,$3.176,$63.30,$60.60,$57.39,$43.01,$47.64
Mechanicsville,$4.252,$4.083,$3.925,$2.882,$3.108,$63.77,$61.24,$58.87,$43.22,$46.63
Morrisville,$4.099,$3.930,$3.851,$2.807,$3.019,$61.48,$58.94,$57.77,$42.10,$45.28
New Hope,$4.176,$3.990,$4.149,$3.111,$3.293,$62.64,$59.85,$62.24,$46.67,$49.40
Newtown,$4.306,$4.135,$3.965,$2.943,$3.294,$64.59,$62.02,$59.47,$44.14,$49.41
Newtown Grant,$4.374,$4.195,$4.077,$3.000,$3.380,$65.62,$62.93,$61.16,$45.01,$50.70
Penndel,$4.217,$4.041,$3.859,$2.851,$3.176,$63.25,$60.61,$57.88,$42.76,$47.63
Perkasie,$4.235,$4.054,$3.956,$2.876,$3.063,$63.53,$60.81,$59.34,$43.14,$45.94
Quakertown,$4.235,$4.090,$3.864,$2.943,$3.056,$63.53,$61.35,$57.96,$44.14,$45.84
Richboro,$4.218,$4.041,$3.904,$2.814,$3.117,$63.27,$60.61,$58.56,$42.21,$46.76
Richlandtown,$4.199,$4.053,$3.822,$2.991,$3.032,$62.99,$60.79,$57.32,$44.86,$45.48
Riegelsville,$4.209,$4.037,$3.857,$2.886,$3.049,$63.14,$60.55,$57.86,$43.29,$45.74
Sellersville,$4.237,$4.058,$3.957,$2.873,$3.063,$63.55,$60.87,$59.36,$43.09,$45.94
Telford,$4.249,$4.070,$3.995,$2.885,$3.088,$63.73,$61.04,$59.92,$43.28,$46.31
Village Shires,$4.224,$4.057,$3.896,$2.834,$3.157,$63.36,$60.85,$58.44,$42.50,$47.36
Warminster,$4.189,$3.998,$3.848,$2.781,$3.050,$62.84,$59.97,$57.73,$41.72,$45.75
Warminster Heights,$4.190,$3.997,$3.860,$2.779,$3.053,$62.86,$59.95,$57.90,$41.69,$45.79
Woodbourne,$4.252,$4.073,$3.872,$2.903,$3.224,$63.78,$61.10,$58.09,$43.54,$48.35
Woodside,$4.285,$4.105,$3.926,$2.936,$3.247,$64.27,$61.58,$58.89,$44.04,$48.70
Yardley,$4.166,$4.010,$3.900,$2.849,$3.101,$62.49,$60.15,$58.50,$42.74,$46.52
