search_place,station,brand,street,city_state_zip,regular_price,regular_price_date,regular_price_time,diesel_price,diesel_price_date,diesel_price_time,services
Hulmeville,BRUCES AUTOMOTIVE,Liberty,3700 OXFORD VALLEY RD,"Levittown , PA",$3.859,Apr 15,08:57 AM,,,,
Hulmeville,USA GAS,Unbranded,5901 MILL CREEK RD,"Levittown , PA",$3.859,Apr 13,02:46 PM,,,,Repairs
Hulmeville,G FUEL,Unbranded,455 BRISTOL PIKE,"Bristol , PA",$3.859,Apr 15,07:56 AM,,,,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,FOODLE FARMS,Unbranded,1205 E LINCOLN HWY,"Langhorne, PA",$3.879,Apr 15,11:39 AM,$5.779,Apr 14,03:07 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,GIANT #6324,Giant (Ahold),2391 DURHAM RD,"Levittown , PA",$3.899,Apr 15,11:00 AM,,,,Convenience Store/Grocery Store
Hulmeville,WAWA #219,Wawa,3260 NEW RODGERS RD,"Bristol, PA",$3.899,Apr 15,12:33 PM,$5.959,Apr 15,09:23 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store, Restaurant/Deli/Fast Food"
Hulmeville,Wawa #8163,Wawa,3800 Bristol Oxford Valley Rd,"Levittown, PA",$3.899,Apr 15,12:44 PM,$5.999,Apr 15,11:11 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,BRISTOL 905,Valero,905 ROUTE 13,"Bristol , PA",$3.899,Apr 13,02:28 PM,,,,"Restaurant/Deli/Fast Food, Bio-Fuels, Repairs"
Hulmeville,Sunoco,Sunoco,111 E LINCOLN HWY,"Langhorne, PA",$3.929,Apr 15,12:22 PM,$5.929,Apr 15,07:18 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,SUNOCO,Sunoco,652 BELLEVUE AVE,"Langhorne, PA",$3.939,Apr 14,02:52 PM,,,,Repairs
Hulmeville,GULF,Gulf,4362 NEW FALLS RD,"Levittown , PA",$3.959,Apr 15,06:29 AM,,,,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,NEW FALLS ROAD EXXON,Exxon,5300 NEW FALLS RD,"Levittown , PA",$3.959,Apr 15,08:29 AM,$5.979,Apr 14,10:02 PM,
Hulmeville,SPEEDWAY #6729,Speedway,2919 STATE ROUTE 413,"Bristol , PA",$3.959,Apr 15,12:40 PM,$5.959,Apr 15,11:15 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,Sunoco,Sunoco,503 STATE RD,"Croydon , PA",$3.959,Apr 15,12:13 PM,$5.899,Apr 15,12:40 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,DICK AND RIPS HOLLAND SUNOCO,Sunoco,287 HOLLAND RD,"Southampton , PA",$3.959,Apr 15,12:40 PM,,,,Repairs
Hulmeville,7-ELEVEN #32639,7-Eleven,527 W LINCOLN HWY,"Langhorne, PA",$3.969,Apr 15,11:17 AM,,,,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,WAWA #8157,Wawa,639 E LINCOLN HWY,"Langhorne, PA",$3.969,Apr 15,12:31 PM,$5.899,Apr 15,11:40 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,Joe's Kwik Marts #383,Joes Kwik Mart,1266 OLD LINCOLN HWY,"Langhorne, PA",$3.969,Apr 15,12:44 PM,,,,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,Wawa #8127,Wawa,225 LEVITTOWN PARKWAY,"Bristol , PA",$3.969,Apr 15,12:31 PM,$5.899,Apr 15,12:16 PM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store, Repairs"
Hulmeville,WAWA #8107,Wawa,3111 STATE RD,"Bristol, PA",$3.979,Apr 15,12:35 PM,$5.959,Apr 15,12:14 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,Shell,Shell,620 E BRISTOL RD,"Feasterville Trevose , PA",$3.979,Apr 15,10:51 AM,,,,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,WAWA #8004,Wawa,7625 NEW FALLS RD,"Levittown, PA",$3.989,Apr 15,12:43 PM,$5.959,Apr 15,09:12 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,SINCLAIR,Sinclair,452 S BELLEVUE AVE,"Langhorne, PA",$3.999,Apr 15,12:00 PM,,,,
Hulmeville,SUNOCO,Sunoco,1155 BRISTOL OXFORD VALLEY RD,"Levittown , PA",$3.999,Apr 15,12:41 PM,,,,"Bio-Fuels, Repairs"
Hulmeville,SHELL,Shell,7011 NEW FALLS RD,"Levittown , PA",$3.999,Apr 15,12:26 PM,$5.999,Apr 14,02:08 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,MILL CREEK GAS,Sunoco,7040 MILL CREEK RD,"Levittown , PA",$3.999,Apr 15,11:43 AM,,,,Convenience Store/Grocery Store
Hulmeville,WAWA #8020,Wawa,132 OXFORD VALLEY RD,"Langhorne, PA",$3.999,Apr 15,12:43 PM,$5.929,Apr 15,08:09 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,WAWA #268,Wawa,5900 BRISTOL PIKE,"Bristol, PA",$3.999,Apr 15,12:31 PM,$5.959,Apr 15,11:36 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store, Restaurant/Deli/Fast Food"
Hulmeville,BP,BP,7601 BRISTOL PIKE,"Levittown , PA",$3.999,Apr 15,10:32 AM,$5.899,Apr 15,07:21 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,STREET ROAD LUKOIL,Lukoil,4613 E STREET RD,"Feasterville Trevose , PA",$3.999,Apr 14,09:24 AM,,,,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,CORNWELLS HIEGHTS,Unbranded,1360 STREET RD,"Bensalem, PA",$3.999,Apr 15,11:06 AM,$5.899,Apr 15,06:53 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,S&P Oil,Unbranded,8029 BRISTOL PIKE,"Levittown, PA",$3.999,Apr 15,06:11 AM,$5.899,Apr 15,10:25 AM,Bio-Fuels
Hulmeville,Conoco,Conoco,2672 BRISTOL PIKE,"Bensalem , PA",$3.999,Apr 15,09:28 AM,$5.859,Apr 14,07:40 PM,Bio-Fuels
Hulmeville,SUNOCO,Sunoco,300 E STREET RD,"Feasterville Trevose , PA",$3.999,Apr 15,12:25 PM,$5.959,Apr 15,06:54 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,SHELL,Shell,236 LINCOLN HWY,"Fairless Hills, PA",$4.009,Apr 15,11:46 AM,$5.999,Apr 13,05:48 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,A PLUS MINI MARKET,A Plus,1432 STREET RD,"Bensalem , PA",$4.019,Apr 15,12:32 PM,$5.999,Apr 15,11:25 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,LUKOIL,Lukoil,152 E MAPLE AVE,"Langhorne, PA",$4.039,Apr 14,08:20 AM,,,,Convenience Store/Grocery Store
Hulmeville,BENSALEM AUTO CARE,Conoco,3585 BRISTOL RD,"Bensalem, PA",$4.059,Apr 15,11:46 AM,,,,Repairs
Hulmeville,GIANT FUEL #6046,Giant (Ahold),2711 STREET RD,"Bensalem, PA",$4.059,Apr 15,11:00 AM,$5.399,Apr 15,11:00 AM,
Hulmeville,WAWA #8072,Wawa,3620 STREET RD,"Bensalem, PA",$4.059,Apr 15,12:42 PM,$5.899,Apr 15,12:31 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,WAWA #8075,Wawa,601 E STREET RD,"Feasterville Trevose, PA",$4.079,Apr 15,10:54 AM,$5.899,Apr 15,12:40 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,BP,BP,1724 TRENTON RD,"Levittown , PA",$4.099,Apr 15,09:58 AM,,,,Repairs
Hulmeville,BP,BP,3340 BRISTOL RD,"Bensalem , PA",$4.099,Apr 15,12:20 PM,$5.999,Apr 15,09:19 AM,"Open 24 Hours, Bio-Fuels, Repairs"
Hulmeville,EXXON,Exxon,123 N PINE ST,"Langhorne , PA",$4.099,Apr 15,11:47 AM,,,,"Open 24 Hours, Convenience Store/Grocery Store"
Hulmeville,SUNOCO,Sunoco,1231 NEW RODGERS RD,"Bristol, PA",$4.099,Apr 15,09:44 AM,$5.999,Apr 15,10:02 AM,"Bio-Fuels, Repairs"
Hulmeville,A PLUS MINI MARKET,A Plus,3419 STREET RD,"Bensalem , PA",$4.099,Apr 15,12:12 PM,$5.999,Apr 15,06:12 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,SINCLAIR,Sinclair,2030 STREET RD,"Bensalem , PA",$4.099,Apr 14,11:54 AM,$5.999,Apr 13,10:41 PM,Convenience Store/Grocery Store
Hulmeville,KNIGHTS ROAD,Conoco,2700 KNIGHTS RD,"Bensalem, PA",$4.099,Apr 15,09:12 AM,,,,Repairs
Hulmeville,A PLUS MINI MARKET,A Plus,8596 NEW FALLS RD,"Levittown , PA",$4.099,Apr 15,12:44 PM,$5.999,Apr 14,05:29 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,WAWA #277,Wawa,2250 LINCOLN HWY,"Feasterville Trevose, PA",$4.139,Apr 15,12:38 PM,$5.899,Apr 15,11:38 AM,"Open 24 Hours, Convenience Store/Grocery Store, Restaurant/Deli/Fast Food"
Hulmeville,A PLUS MINI MARKET,A Plus,231 ROUTE 13,"Bristol , PA",$4.159,Apr 15,12:37 PM,$5.999,Apr 15,12:29 PM,"Bio-Fuels, Repairs"
Hulmeville,Shell,Shell,2506 LINCOLN HWY,"Feasterville Trevose, PA",$4.179,Apr 15,09:46 AM,,,,"Open 24 Hours, Bio-Fuels"
Hulmeville,BENSALEM TIGER MART,Exxon,5716 HULMEVILLE RD,"Bensalem , PA",$4.199,Apr 15,10:01 AM,,,,Convenience Store/Grocery Store
Hulmeville,A PLUS MINI MARKET,A Plus,2767 LINCOLN HWY,"Feasterville Trevose , PA",$4.199,Apr 15,10:52 AM,$5.999,Apr 15,10:23 AM,"Open 24 Hours, Restaurant/Deli/Fast Food, Bio-Fuels, Convenience Store/Grocery Store"
Hulmeville,SUNOCO,Sunoco,7000 BRISTOL PIKE,"Levittown, PA",$4.199,Apr 15,07:37 AM,$5.999,Apr 13,03:37 PM,"Bio-Fuels, Repairs"
Hulmeville,SUNOCO,Sunoco,398 LINCOLN HWY,"Fairless Hills , PA",$4.199,Apr 15,08:17 AM,$5.999,Apr 14,01:59 PM,"Bio-Fuels, Repairs"
Hulmeville,LIBERTY,Liberty,1616 STREET RD,"Bensalem , PA",$4.209,Apr 14,04:17 PM,,,,Repairs
Hulmeville,SUNOCO,Sunoco,3611 HULMEVILLE RD,"Bensalem , PA",$4.299,Apr 15,12:03 PM,,,,Repairs
Hulmeville,Sunoco,Sunoco,61 OXFORD VALLEY RD,"Morrisville , PA",$4.299,Apr 15,12:39 PM,,,,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
