search_place,station,brand,street,city_state_zip,regular_price,regular_price_date,regular_price_time,diesel_price,diesel_price_date,diesel_price_time,services
Langhorne,BRUCES AUTOMOTIVE,Liberty,3700 OXFORD VALLEY RD,"Levittown , PA",$4.299,May 21,09:50 AM,,,,
Langhorne,SUNOCO,Sunoco,2435 DURHAM RD,"Bristol , PA",$4.399,May 21,01:47 PM,,,,"Open 24 Hours, Bio-Fuels"
Langhorne,SUNOCO,Sunoco,652 BELLEVUE AVE,"Langhorne, PA",$4.439,May 21,09:28 AM,,,,Repairs
Langhorne,LUKOIL,Lukoil,152 E MAPLE AVE,"Langhorne, PA",$4.479,May 21,08:14 AM,,,,Convenience Store/Grocery Store
Langhorne,Shell,Shell,620 E BRISTOL RD,"Feasterville Trevose , PA",$4.479,May 21,07:50 AM,$5.699,May 21,11:33 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Langhorne,FOODLE FARMS,Unbranded,1205 E LINCOLN HWY,"Langhorne, PA",$4.499,May 21,12:54 PM,$5.679,May 20,01:18 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Langhorne,BENSALEM AUTO CARE,Conoco,3585 BRISTOL RD,"Bensalem, PA",$4.559,May 21,01:31 PM,,,,Repairs
Langhorne,STREET ROAD LUKOIL,Lukoil,4613 E STREET RD,"Feasterville Trevose , PA",$4.559,May 20,05:58 PM,,,,"Open 24 Hours, Convenience Store/Grocery Store"
Langhorne,SUNOCO,Sunoco,300 E STREET RD,"Feasterville Trevose , PA",$4.559,May 21,09:39 AM,$5.759,May 21,01:17 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Langhorne,GULF,Gulf,4362 NEW FALLS RD,"Levittown , PA",$4.579,May 20,05:28 PM,,,,"Bio-Fuels, Convenience Store/Grocery Store"
Langhorne,WAWA #8157,Wawa,639 E LINCOLN HWY,"Langhorne, PA",$4.599,May 21,01:51 PM,$5.739,May 21,01:14 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Langhorne,BP,BP,3340 BRISTOL RD,"Bensalem , PA",$4.599,May 21,09:36 AM,$5.899,May 21,12:12 PM,"Open 24 Hours, Bio-Fuels, Repairs"
