search_place,station,brand,street,city_state_zip,regular_price,regular_price_date,regular_price_time,diesel_price,diesel_price_date,diesel_price_time,services
Mechanicsville,LIBERTY,Liberty,290 W STATE ST,"Doylestown , PA",$3.799,Apr 24,04:28 PM,,,,"Bio-Fuels, Convenience Store/Grocery Store, Repairs"
Mechanicsville,SHELL,Shell,4247 W SWAMP RD,"Doylestown, PA",$3.959,Apr 25,09:55 AM,$5.899,Apr 25,08:25 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Mechanicsville,LIBERTY MAIN,Liberty,235 N MAIN ST,"Doylestown , PA",$3.959,Apr 25,11:17 AM,,,,"Bio-Fuels, Convenience Store/Grocery Store, Repairs"
Mechanicsville,WAWA #8125,Wawa,425 S MAIN ST,"Doylestown, PA",$3.959,Apr 25,01:16 PM,$5.899,Apr 24,12:47 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Mechanicsville,WAWA #288,Wawa,5854 EASTON RD,"Pipersville, PA",$3.959,Apr 25,01:47 PM,$5.899,Apr 25,01:42 PM,"Open 24 Hours, Restaurant/Deli/Fast Food, Convenience Store/Grocery Store"
Mechanicsville,WAWA #8096,Wawa,3659 N EASTON RD,"Doylestown, PA",$3.999,Apr 25,02:23 PM,$5.899,Apr 25,09:15 AM,Convenience Store/Grocery Store
Mechanicsville,N EASTON RD BP,BP,3611 N EASTON RD,"Doylestown , PA",$3.999,Apr 25,08:58 AM,,,,Convenience Store/Grocery Store
Mechanicsville,DOYLESTOWN EXXON,Exxon,539 N MAIN ST,"Doylestown , PA",$3.999,Apr 25,12:58 PM,,,,Repairs
Mechanicsville,LUKOIL,Lukoil,440 E SWAMP RD,"Doylestown, PA",$4.099,Apr 24,08:20 PM,,,,"Bio-Fuels, Convenience Store/Grocery Store"
Mechanicsville,SUNOCO,Sunoco,610 N MAIN ST,"Doylestown , PA",$4.099,Apr 25,10:02 AM,$5.999,Apr 24,08:23 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Mechanicsville,LIBERTY,Liberty,1019 N EASTON RD,"Doylestown , PA",$4.149,Apr 25,01:11 PM,$5.859,Apr 24,02:51 PM,"Bio-Fuels, Repairs"
Mechanicsville,SHELL SERVICE STATION,Shell,216 S MAIN ST,"Doylestown , PA",$4.159,Apr 25,10:49 AM,,,,"Bio-Fuels, Repairs"
