search_place,station,brand,street,city_state_zip,regular_price,regular_price_date,regular_price_time,diesel_price,diesel_price_date,diesel_price_time,services
Quakertown,WAWA #8021,Wawa,1960 JOHN FRIES HWY,"Quakertown, PA",$3.889,Apr 17,01:21 AM,$5.899,Apr 16,05:22 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Quakertown,SUNOCO,Sunoco,2099 QUAKER POINTE DR,"Quakertown , PA",$3.889,Apr 16,07:11 PM,,,,"Restaurant/Deli/Fast Food, Convenience Store/Grocery Store"
Quakertown,TOP STAR #104,Top Star,2030 JOHN FRIES HWY,"Quakertown, PA",$3.939,Apr 16,05:57 PM,$5.899,Apr 16,06:09 PM,"Restaurant/Deli/Fast Food, Bio-Fuels, Convenience Store/Grocery Store"
Quakertown,309 TRUCK STOP,Unbranded,1720 ROUTE 309,"Coopersburg , PA",$3.939,Apr 16,11:39 AM,$5.999,Apr 16,07:08 PM,"Restaurant/Deli/Fast Food, Bio-Fuels, Convenience Store/Grocery Store"
Quakertown,WAWA #8044,Wawa,600 N WEST END BLVD,"Quakertown, PA",$3.979,Apr 17,01:28 AM,$5.979,Apr 16,05:43 PM,"Open 24 Hours, Restaurant/Deli/Fast Food, Convenience Store/Grocery Store"
Quakertown,SPEEDWAY #6733,Speedway,140 S WEST END BLVD,"Quakertown , PA",$3.999,Apr 16,09:15 PM,$5.999,Apr 16,09:15 PM,"Open 24 Hours, Restaurant/Deli/Fast Food, Bio-Fuels, Convenience Store/Grocery Store"
Quakertown,GIANT #6476,Giant (Ahold),1465 W BROAD ST,"Quakertown , PA",$3.999,Apr 15,03:09 PM,,,,Convenience Store/Grocery Store
Quakertown,QUAKERTOWN FOOD MART,Unbranded,1610 N OLD BETHLEHEM PIKE,"Quakertown , PA",$3.999,Apr 16,06:28 PM,,,,Convenience Store/Grocery Store
Quakertown,WAWA #272,Wawa,1095 S WEST END BLVD,"Quakertown, PA",$3.999,Apr 16,11:25 PM,$5.999,Apr 16,04:00 PM,"Open 24 Hours, Convenience Store/Grocery Store, Restaurant/Deli/Fast Food"
Quakertown,A PLUS MINI MARKET,A Plus,331 W BROAD ST,"Quakertown , PA",$4.099,Apr 16,06:35 PM,$5.999,Apr 15,04:27 PM,"Bio-Fuels, Convenience Store/Grocery Store"
