search_place,station,brand,street,city_state_zip,regular_price,regular_price_date,regular_price_time,diesel_price,diesel_price_date,diesel_price_time,services
Woodbourne,BRUCES AUTOMOTIVE,Liberty,3700 OXFORD VALLEY RD,"Levittown , PA",$4.299,May 21,06:12 AM,,,,
Woodbourne,SUNOCO,Sunoco,2435 DURHAM RD,"Bristol , PA",$4.399,May 21,07:45 AM,,,,"Open 24 Hours, Bio-Fuels"
Woodbourne,SUNOCO,Sunoco,652 BELLEVUE AVE,"Langhorne, PA",$4.439,May 21,07:10 AM,,,,Repairs
Woodbourne,Shell,Shell,620 E BRISTOL RD,"Feasterville Trevose , PA",$4.479,May 21,07:50 AM,,,,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,Sunoco,Sunoco,907 W TRENTON AVE,"Morrisville , PA",$4.499,May 20,07:13 PM,$5.899,May 20,02:59 PM,"Bio-Fuels, Repairs"
Woodbourne,FOODLE FARMS,Unbranded,1205 E LINCOLN HWY,"Langhorne, PA",$4.559,May 21,07:18 AM,$5.679,May 20,01:18 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,SUNOCO,Sunoco,999 W TRENTON AVE,"Morrisville , PA",$4.559,May 21,06:45 AM,,,,"Bio-Fuels, Repairs"
Woodbourne,BENSALEM AUTO CARE,Conoco,3585 BRISTOL RD,"Bensalem, PA",$4.559,May 21,06:55 AM,,,,Repairs
Woodbourne,GULF,Gulf,4362 NEW FALLS RD,"Levittown , PA",$4.579,May 20,05:28 PM,,,,"Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,SHELL,Shell,7011 NEW FALLS RD,"Levittown , PA",$4.599,May 20,04:41 PM,$5.799,May 21,07:37 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,LUKOIL,Lukoil,2 N SYCAMORE ST,"Newtown, PA",$4.599,May 21,07:30 AM,,,,
Woodbourne,GIANT #6324,Giant (Ahold),2391 DURHAM RD,"Levittown , PA",$4.599,May 20,12:13 PM,,,,Convenience Store/Grocery Store
Woodbourne,MILL CREEK GAS,Sunoco,7040 MILL CREEK RD,"Levittown , PA",$4.599,May 21,07:06 AM,,,,Convenience Store/Grocery Store
Woodbourne,BP,BP,3340 BRISTOL RD,"Bensalem , PA",$4.599,May 21,07:44 AM,$5.899,May 21,07:36 AM,"Open 24 Hours, Bio-Fuels, Repairs"
Woodbourne,SUNOCO,Sunoco,1155 BRISTOL OXFORD VALLEY RD,"Levittown , PA",$4.639,May 20,05:31 PM,,,,"Bio-Fuels, Repairs"
Woodbourne,Sunoco,Sunoco,111 E LINCOLN HWY,"Langhorne, PA",$4.639,May 21,07:42 AM,$5.729,May 20,05:05 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,Wawa #8159,Wawa,91 LOWER SILVER LAKE RD,"Newtown, PA",$4.639,May 21,07:50 AM,$5.799,May 21,07:47 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,NEW FALLS ROAD EXXON,Exxon,5300 NEW FALLS RD,"Levittown , PA",$4.639,May 21,05:46 AM,$5.779,May 20,05:53 AM,
Woodbourne,Joe's Kwik Marts #383,Joes Kwik Mart,1266 OLD LINCOLN HWY,"Langhorne, PA",$4.659,May 21,07:40 AM,,,,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,WAWA #8020,Wawa,132 OXFORD VALLEY RD,"Langhorne, PA",$4.659,May 21,07:35 AM,$5.819,May 21,07:54 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,SHELL,Shell,236 LINCOLN HWY,"Fairless Hills, PA",$4.659,May 20,07:09 PM,$5.899,May 19,08:44 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,WAWA #8157,Wawa,639 E LINCOLN HWY,"Langhorne, PA",$4.659,May 21,07:29 AM,$5.739,May 21,07:50 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,Wawa  #8168,Wawa,530 LINCOLN HWY,"Fairless Hills, PA",$4.659,May 21,07:44 AM,$5.899,May 21,07:51 AM,Convenience Store/Grocery Store
Woodbourne,7-ELEVEN #32639,7-Eleven,527 W LINCOLN HWY,"Langhorne, PA",$4.659,May 21,07:22 AM,,,,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,WAWA #8004,Wawa,7625 NEW FALLS RD,"Levittown, PA",$4.659,May 21,07:31 AM,$5.849,May 20,10:39 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,Wawa #8163,Wawa,3800 Bristol Oxford Valley Rd,"Levittown, PA",$4.659,May 21,07:55 AM,$5.779,May 21,07:19 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,WAWA #219,Wawa,3260 NEW RODGERS RD,"Bristol, PA",$4.659,May 21,07:38 AM,$5.859,May 21,06:53 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store, Restaurant/Deli/Fast Food"
Woodbourne,WAWA #8076,Wawa,545 W TRENTON AVE,"Morrisville, PA",$4.659,May 21,07:51 AM,$5.899,May 21,07:16 AM,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,Wawa #8127,Wawa,225 LEVITTOWN PARKWAY,"Bristol , PA",$4.659,May 21,07:56 AM,$5.849,May 21,07:23 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store, Repairs"
Woodbourne,LUKOIL,Lukoil,152 E MAPLE AVE,"Langhorne, PA",$4.679,May 20,10:15 AM,,,,Convenience Store/Grocery Store
Woodbourne,Sunoco,Sunoco,61 OXFORD VALLEY RD,"Morrisville , PA",$4.699,May 21,06:18 AM,$6.399,May 20,07:26 AM,"Open 24 Hours, Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,EXXON,Exxon,123 N PINE ST,"Langhorne , PA",$4.699,May 21,07:26 AM,,,,"Open 24 Hours, Convenience Store/Grocery Store"
Woodbourne,SINCLAIR,Sinclair,452 S BELLEVUE AVE,"Langhorne, PA",$4.699,May 21,07:48 AM,,,,
Woodbourne,BP,BP,1724 TRENTON RD,"Levittown , PA",$4.699,May 21,07:11 AM,,,,Repairs
Woodbourne,SUNOCO,Sunoco,398 LINCOLN HWY,"Fairless Hills , PA",$4.699,May 21,05:14 AM,$5.999,May 20,06:23 AM,"Bio-Fuels, Repairs"
Woodbourne,SUNOCO,Sunoco,549 WASHINGTON AVE,"Newtown, PA",$4.699,May 21,07:31 AM,,,,Repairs
Woodbourne,A PLUS MINI MARKET,A Plus,8596 NEW FALLS RD,"Levittown , PA",$4.699,May 21,06:44 AM,$5.999,May 21,05:25 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Woodbourne,BENSALEM TIGER MART,Exxon,5716 HULMEVILLE RD,"Bensalem , PA",$4.699,May 20,04:33 PM,,,,Convenience Store/Grocery Store
